584.160000	3.20										
594.400000	3.00										
604.640000	2.80										
614.880000	3.00										
615.904000	3.20										
616.928000	3.20										
617.952000	3.00										
618.976000	3.80										
620.000000	4.00										
621.024000	4.80										
622.048000	6.00										
623.072000	7.00										
624.096000	8.00										
625.120000	9.40										
626.144000	9.80										
627.168000	10.0										
628.192000	10.8										
629.216000	11.0										
630.240000	11.4										
631.264000	11.8										
632.288000	11.8										
633.312000	12.0										
634.336000	12.2										
635.360000	12.4										
645.600000	13.6										
655.840000	14.2										
666.080000	14.4										
											
											
											
											
											
											
											
											
											
