584.16000000	0.33333333							
594.40000000	0.29411765							
604.64000000	0.25454545							
614.88000000	0.25524225							
615.90400000	0.27023603							
616.92800000	0.26824349							
617.95200000	0.24963761							
618.97600000	0.31391001							
620.00000000	0.32804793							
621.02400000	0.39083810							
622.04800000	0.49207190							
623.07200000	0.56997223							
624.09600000	0.64219786							
625.12000000	0.74929176							
626.14400000	0.78117652							
627.16800000	0.78609554							
628.19200000	0.86088840							
629.21600000	0.86770497							
630.24000000	0.88999505							
631.26400000	0.93405123							
632.28800000	0.92759274							
633.31200000	0.94331465							
634.33600000	0.95903656							
635.36000000	0.96146242							
645.60000000	1.00000000							
655.84000000	1.01428571							
666.08000000	1.00000000							
								
								
								
								
								
								
								
								
								
