-30.05	-3.040	0.038
-27.01	-2.730	0.036
-24.08	-2.430	0.035
-21.05	-2.120	0.033
-18.05	-1.820	0.031
-15.03	-1.520	0.029
-10.08	-1.020	0.026
-6.01	-0.600	0.024
-3.00	-0.300	0.022
3.07	0.31	0.02
6.01	0.60	0.02
9.07	0.91	0.03
12.08	1.22	0.03
15.07	1.52	0.03
18.03	1.82	0.03
21.04	2.12	0.03
24.01	2.43	0.03
27.09	2.74	0.04
30.06	3.04	0.04
