584.160000	7.60										
594.400000	8.40										
604.640000	9.12										
614.880000	9.90										
615.904000	9.12										
616.928000	9.50										
617.952000	9.60										
618.976000	10.2										
620.000000	10.4										
621.024000	10.0										
622.048000	9.76										
623.072000	8.16										
624.096000	7.60										
625.120000	7.12										
626.144000	6.00										
627.168000	5.92										
628.192000	4.80										
629.216000	4.80										
630.240000	4.00										
631.264000	3.96										
632.288000	3.76										
633.312000	3.50										
634.336000	3.20										
635.360000	2.96										
645.600000	2.48										
655.840000	2.32										
666.080000	2.24										
											
											
											
											
											
											
											
											
											
